,A̱o,Trimestre,Ingresos Internet,Ingresos Telefonia Fija,Ingresos Telefonia Movil
0,2022,4,72443482,3235691392,204796575
1,2022,3,64086784,2969851257,180356862
2,2022,2,60419500,312581825,153032313
3,2022,1,55219313,30583344,130454676
4,2021,4,45467887,4061605917,127389786
5,2021,3,42999944,2078999521,117751925
6,2021,2,38239666,2217875189,104782020
7,2021,1,36676371,2137866768,93112153
8,2020,4,33539702,1975030398,83479114
9,2020,3,31997444,1816202389,79634755
10,2020,2,32102475,2103552289,73538944
11,2020,1,29946216,1706759782,72077147
12,2019,4,24169250,2032157716,65388842
13,2019,3,21652748,1340456915,60905891
14,2019,2,20743117,1418105521,55338816
15,2019,1,20207413,1223856839,50246691
16,2018,4,16637686,899715788,44026803
17,2018,3,15410980,1011135057,43280089
18,2018,2,14319467,791172307,40653502
19,2018,1,13171459,825227999,38733946
20,2017,4,11226127,551433619,38110028
21,2017,3,10065997,666794353,35711689
22,2017,2,9678646,697061722,33509264
23,2017,1,8701201,637568176,31205565
24,2016,4,7483980,496459639,30143233
25,2016,3,6912441,495196766,27416177
26,2016,2,6534240,471876982,25353971
27,2016,1,5936844,419826039,24763052
28,2015,4,5376899,381536412,24881967
29,2015,3,5153738,359088318,21785238
30,2015,2,4701790,342551848,19945453
31,2015,1,4876385,326012475,19337342
32,2014,4,3950440,333969090,20012332
33,2014,3,3478637,310546202,18976053
34,2014,2,3270816,297486520,17680972
35,2014,1,2984054,291607175,15938353
