Año,Trimestre,Provincia,Accesos por cada 100 hab,provincia_id,año_id
2018,3,Santa Cruz,9,19,4
2018,3,Santa Fe,19,20,4
2018,3,Santiago Del Estero,9,21,4
2018,3,Tierra Del Fuego,27,22,4
2018,3,Tucumán,10,23,4
2018,2,Buenos Aires,20,0,4
2018,2,Capital Federal,44,1,4
2018,2,Catamarca,8,2,4
2018,2,Chaco,8,3,4
2018,2,Chubut,16,4,4
2018,2,Córdoba,19,5,4
2018,2,Corrientes,8,6,4
2018,2,Entre Ríos,14,7,4
2018,2,Formosa,7,8,4
2018,2,Jujuy,5,9,4
2018,2,La Pampa,23,10,4
2018,2,La Rioja,13,11,4
2018,2,Mendoza,10,12,4
2018,2,Misiones,8,13,4
2018,2,Neuquén,17,14,4
2018,2,Río Negro,15,15,4
2018,2,Salta,9,16,4
2018,2,San Juan,8,17,4
2018,2,San Luis,4,18,4
2018,2,Santa Cruz,9,19,4
2018,2,Santa Fe,19,20,4
2018,2,Santiago Del Estero,8,21,4
2018,2,Tierra Del Fuego,27,22,4
2018,2,Tucumán,10,23,4
2018,1,Buenos Aires,20,0,4
2018,1,Capital Federal,44,1,4
2018,1,Catamarca,8,2,4
2018,1,Chaco,8,3,4
2018,1,Chubut,16,4,4
2018,1,Córdoba,19,5,4
2018,1,Corrientes,8,6,4
2018,1,Entre Ríos,14,7,4
2018,1,Formosa,5,8,4
2018,1,Jujuy,5,9,4
2018,1,La Pampa,23,10,4
2018,1,La Rioja,13,11,4
2018,1,Mendoza,10,12,4
2018,1,Misiones,8,13,4
2018,1,Neuquén,18,14,4
2018,1,Río Negro,15,15,4
2018,1,Salta,9,16,4
2018,1,San Juan,8,17,4
2018,1,San Luis,4,18,4
2018,1,Santa Cruz,9,19,4
2018,1,Santa Fe,19,20,4
2018,1,Santiago Del Estero,8,21,4
2018,1,Tierra Del Fuego,19,22,4
2018,1,Tucumán,10,23,4
2017,4,Buenos Aires,18,0,5
2017,4,Capital Federal,51,1,5
2017,4,Catamarca,7,2,5
2017,4,Chaco,8,3,5
2017,4,Chubut,15,4,5
2017,4,Córdoba,19,5,5
2017,4,Corrientes,8,6,5
2017,4,Entre Ríos,14,7,5
2017,4,Formosa,5,8,5
2017,4,Jujuy,5,9,5
2017,4,La Pampa,23,10,5
2017,4,La Rioja,13,11,5
2017,4,Mendoza,9,12,5
2017,4,Misiones,8,13,5
2017,4,Neuquén,18,14,5
2017,4,Río Negro,15,15,5
2017,4,Salta,9,16,5
2017,4,San Juan,7,17,5
2017,4,San Luis,3,18,5
2017,4,Santa Cruz,8,19,5
2017,4,Santa Fe,19,20,5
2017,4,Santiago Del Estero,7,21,5
2017,4,Tierra Del Fuego,17,22,5
2017,4,Tucumán,9,23,5
2017,3,Buenos Aires,17,0,5
2017,3,Capital Federal,51,1,5
2017,3,Catamarca,8,2,5
2017,3,Chaco,8,3,5
2017,3,Chubut,14,4,5
2017,3,Córdoba,19,5,5
2017,3,Corrientes,8,6,5
2017,3,Entre Ríos,13,7,5
2017,3,Formosa,5,8,5
2017,3,Jujuy,5,9,5
2017,3,La Pampa,22,10,5
2017,3,La Rioja,13,11,5
2017,3,Mendoza,9,12,5
2017,3,Misiones,8,13,5
2017,3,Neuquén,18,14,5
2017,3,Río Negro,14,15,5
2017,3,Salta,9,16,5
2017,3,San Juan,8,17,5
2017,3,San Luis,4,18,5
2017,3,Santa Cruz,9,19,5
2017,3,Santa Fe,19,20,5
2017,3,Santiago Del Estero,8,21,5
2017,3,Tierra Del Fuego,19,22,5
2017,3,Tucumán,9,23,5
2017,2,Buenos Aires,18,0,5
2017,2,Capital Federal,52,1,5
2017,2,Catamarca,6,2,5
2017,2,Chaco,7,3,5
2017,2,Chubut,10,4,5
2017,2,Córdoba,18,5,5
2017,2,Corrientes,8,6,5
2017,2,Entre Ríos,13,7,5
2017,2,Formosa,5,8,5
2017,2,Jujuy,5,9,5
2017,2,La Pampa,20,10,5
2017,2,La Rioja,4,11,5
2017,2,Mendoza,8,12,5
2017,2,Misiones,8,13,5
2017,2,Neuquén,18,14,5
2017,2,Río Negro,14,15,5
2017,2,Salta,7,16,5
2017,2,San Juan,6,17,5
2017,2,San Luis,2,18,5
2017,2,Santa Cruz,7,19,5
2017,2,Santa Fe,16,20,5
2017,2,Santiago Del Estero,3,21,5
2017,2,Tierra Del Fuego,20,22,5
2017,2,Tucumán,9,23,5
2017,1,Buenos Aires,18,0,5
2017,1,Capital Federal,45,1,5
2017,1,Catamarca,6,2,5
2017,1,Chaco,7,3,5
2017,1,Chubut,10,4,5
2017,1,Córdoba,17,5,5
2017,1,Corrientes,8,6,5
2017,1,Entre Ríos,13,7,5
2017,1,Formosa,5,8,5
2017,1,Jujuy,5,9,5
2017,1,La Pampa,20,10,5
2017,1,La Rioja,4,11,5
2017,1,Mendoza,8,12,5
2017,1,Misiones,8,13,5
2017,1,Neuquén,18,14,5
2017,1,Río Negro,14,15,5
2017,1,Salta,7,16,5
2017,1,San Juan,6,17,5
2017,1,San Luis,2,18,5
2017,1,Santa Cruz,7,19,5
2017,1,Santa Fe,16,20,5
2017,1,Santiago Del Estero,3,21,5
2017,1,Tierra Del Fuego,20,22,5
2017,1,Tucumán,9,23,5
2016,4,Buenos Aires,18,0,6
2016,4,Capital Federal,45,1,6
2016,4,Catamarca,6,2,6
2016,4,Chaco,7,3,6
2016,4,Chubut,10,4,6
2016,4,Córdoba,17,5,6
2016,4,Corrientes,8,6,6
2016,4,Entre Ríos,13,7,6
2016,4,Formosa,5,8,6
2016,4,Jujuy,5,9,6
2016,4,La Pampa,20,10,6
2016,4,La Rioja,4,11,6
2016,4,Mendoza,8,12,6
2016,4,Misiones,8,13,6
2016,4,Neuquén,17,14,6
2016,4,Río Negro,14,15,6
2016,4,Salta,7,16,6
2016,4,San Juan,6,17,6
2016,4,San Luis,2,18,6
2016,4,Santa Cruz,7,19,6
2016,4,Santa Fe,16,20,6
2016,4,Santiago Del Estero,3,21,6
2016,4,Tierra Del Fuego,20,22,6
2016,4,Tucumán,9,23,6
2016,3,Buenos Aires,18,0,6
2016,3,Capital Federal,45,1,6
2016,3,Catamarca,6,2,6
2016,3,Chaco,7,3,6
2016,3,Chubut,11,4,6
2016,3,Córdoba,17,5,6
2016,3,Corrientes,8,6,6
2016,3,Entre Ríos,13,7,6
2016,3,Formosa,4,8,6
2016,3,Jujuy,5,9,6
2016,3,La Pampa,20,10,6
2016,3,La Rioja,4,11,6
2016,3,Mendoza,8,12,6
2016,3,Misiones,8,13,6
2016,3,Neuquén,17,14,6
2016,3,Río Negro,14,15,6
2016,3,Salta,7,16,6
2016,3,San Juan,6,17,6
2016,3,San Luis,2,18,6
2016,3,Santa Cruz,7,19,6
2016,3,Santa Fe,16,20,6
2016,3,Santiago Del Estero,3,21,6
2016,3,Tierra Del Fuego,20,22,6
2016,3,Tucumán,9,23,6
2016,2,Buenos Aires,18,0,6
2016,2,Capital Federal,45,1,6
2016,2,Catamarca,6,2,6
2016,2,Chaco,7,3,6
2016,2,Chubut,11,4,6
2016,2,Córdoba,17,5,6
2016,2,Corrientes,8,6,6
2016,2,Entre Ríos,13,7,6
2016,2,Formosa,4,8,6
2016,2,Jujuy,5,9,6
2016,2,La Pampa,19,10,6
2016,2,La Rioja,4,11,6
2016,2,Mendoza,8,12,6
2016,2,Misiones,7,13,6
2016,2,Neuquén,17,14,6
2016,2,Río Negro,14,15,6
2016,2,Salta,7,16,6
2016,2,San Juan,6,17,6
2016,2,San Luis,2,18,6
2016,2,Santa Cruz,7,19,6
2016,2,Santa Fe,16,20,6
2016,2,Santiago Del Estero,3,21,6
2016,2,Tierra Del Fuego,20,22,6
2016,2,Tucumán,9,23,6
2016,1,Buenos Aires,17,0,6
2016,1,Capital Federal,43,1,6
2016,1,Catamarca,6,2,6
2016,1,Chaco,7,3,6
2016,1,Chubut,11,4,6
2016,1,Córdoba,16,5,6
2016,1,Corrientes,7,6,6
2016,1,Entre Ríos,13,7,6
2016,1,Formosa,4,8,6
2016,1,Jujuy,5,9,6
2016,1,La Pampa,19,10,6
2016,1,La Rioja,4,11,6
2016,1,Mendoza,8,12,6
2016,1,Misiones,7,13,6
2016,1,Neuquén,16,14,6
2016,1,Río Negro,14,15,6
2016,1,Salta,7,16,6
2016,1,San Juan,6,17,6
2016,1,San Luis,2,18,6
2016,1,Santa Cruz,8,19,6
2016,1,Santa Fe,16,20,6
2016,1,Santiago Del Estero,4,21,6
2016,1,Tierra Del Fuego,19,22,6
2016,1,Tucumán,9,23,6
2015,4,Buenos Aires,17,0,7
2015,4,Capital Federal,44,1,7
2015,4,Catamarca,6,2,7
2015,4,Chaco,7,3,7
2015,4,Chubut,11,4,7
2015,4,Córdoba,17,5,7
2015,4,Corrientes,7,6,7
2015,4,Entre Ríos,13,7,7
2015,4,Formosa,4,8,7
2015,4,Jujuy,5,9,7
2015,4,La Pampa,19,10,7
2015,4,La Rioja,4,11,7
2015,4,Mendoza,9,12,7
2015,4,Misiones,7,13,7
2015,4,Neuquén,17,14,7
2015,4,Río Negro,14,15,7
2015,4,Salta,7,16,7
2015,4,San Juan,7,17,7
2015,4,San Luis,2,18,7
2015,4,Santa Cruz,8,19,7
2015,4,Santa Fe,16,20,7
2015,4,Santiago Del Estero,4,21,7
2015,4,Tierra Del Fuego,19,22,7
2015,4,Tucumán,9,23,7
2015,3,Buenos Aires,17,0,7
2015,3,Capital Federal,44,1,7
2015,3,Catamarca,6,2,7
2015,3,Chaco,7,3,7
2015,3,Chubut,11,4,7
2015,3,Córdoba,17,5,7
2015,3,Corrientes,7,6,7
2015,3,Entre Ríos,13,7,7
2015,3,Formosa,4,8,7
2015,3,Jujuy,5,9,7
2015,3,La Pampa,19,10,7
2015,3,La Rioja,4,11,7
2015,3,Mendoza,9,12,7
2015,3,Misiones,7,13,7
2015,3,Neuquén,16,14,7
2015,3,Río Negro,14,15,7
2015,3,Salta,7,16,7
2015,3,San Juan,7,17,7
2015,3,San Luis,2,18,7
2015,3,Santa Cruz,8,19,7
2015,3,Santa Fe,16,20,7
2015,3,Santiago Del Estero,4,21,7
2015,3,Tierra Del Fuego,22,22,7
2015,3,Tucumán,9,23,7
2015,2,Buenos Aires,17,0,7
2015,2,Capital Federal,44,1,7
2015,2,Catamarca,6,2,7
2015,2,Chaco,7,3,7
2015,2,Chubut,11,4,7
2015,2,Córdoba,17,5,7
2015,2,Corrientes,7,6,7
2015,2,Entre Ríos,12,7,7
2015,2,Formosa,4,8,7
2015,2,Jujuy,5,9,7
2015,2,La Pampa,18,10,7
2015,2,La Rioja,4,11,7
2015,2,Mendoza,9,12,7
2015,2,Misiones,7,13,7
2015,2,Neuquén,15,14,7
2015,2,Río Negro,14,15,7
2015,2,Salta,7,16,7
2015,2,San Juan,7,17,7
2015,2,San Luis,2,18,7
2015,2,Santa Cruz,8,19,7
2015,2,Santa Fe,16,20,7
2015,2,Santiago Del Estero,4,21,7
2015,2,Tierra Del Fuego,22,22,7
2015,2,Tucumán,8,23,7
2015,1,Buenos Aires,17,0,7
2015,1,Capital Federal,43,1,7
2015,1,Catamarca,6,2,7
2015,1,Chaco,7,3,7
2015,1,Chubut,11,4,7
2015,1,Córdoba,16,5,7
2015,1,Corrientes,7,6,7
2015,1,Entre Ríos,12,7,7
2015,1,Formosa,4,8,7
2015,1,Jujuy,5,9,7
2015,1,La Pampa,18,10,7
2015,1,La Rioja,4,11,7
2015,1,Mendoza,9,12,7
2015,1,Misiones,7,13,7
2015,1,Neuquén,15,14,7
2015,1,Río Negro,13,15,7
2015,1,Salta,7,16,7
2015,1,San Juan,7,17,7
2015,1,San Luis,2,18,7
2015,1,Santa Cruz,8,19,7
2015,1,Santa Fe,15,20,7
2015,1,Santiago Del Estero,4,21,7
2015,1,Tierra Del Fuego,22,22,7
2015,1,Tucumán,8,23,7
2014,4,Buenos Aires,17,0,8
2014,4,Capital Federal,43,1,8
2014,4,Catamarca,6,2,8
2014,4,Chaco,5,3,8
2014,4,Chubut,12,4,8
2014,4,Córdoba,16,5,8
2014,4,Corrientes,6,6,8
2014,4,Entre Ríos,10,7,8
2014,4,Formosa,4,8,8
2014,4,Jujuy,4,9,8
2014,4,La Pampa,16,10,8
2014,4,La Rioja,4,11,8
2014,4,Mendoza,9,12,8
2014,4,Misiones,6,13,8
2014,4,Neuquén,15,14,8
2014,4,Río Negro,13,15,8
2014,4,Salta,7,16,8
2014,4,San Juan,7,17,8
2014,4,San Luis,2,18,8
2014,4,Santa Cruz,8,19,8
2014,4,Santa Fe,15,20,8
2014,4,Santiago Del Estero,4,21,8
2014,4,Tierra Del Fuego,19,22,8
2014,4,Tucumán,8,23,8
2014,3,Buenos Aires,17,0,8
2014,3,Capital Federal,43,1,8
2014,3,Catamarca,6,2,8
2014,3,Chaco,5,3,8
2014,3,Chubut,12,4,8
2014,3,Córdoba,16,5,8
2014,3,Corrientes,5,6,8
2014,3,Entre Ríos,10,7,8
2014,3,Formosa,4,8,8
2014,3,Jujuy,4,9,8
2014,3,La Pampa,18,10,8
2014,3,La Rioja,4,11,8
2014,3,Mendoza,8,12,8
2014,3,Misiones,6,13,8
2014,3,Neuquén,16,14,8
2014,3,Río Negro,14,15,8
2014,3,Salta,7,16,8
2014,3,San Juan,7,17,8
2014,3,San Luis,2,18,8
2014,3,Santa Cruz,8,19,8
2014,3,Santa Fe,15,20,8
2014,3,Santiago Del Estero,4,21,8
2014,3,Tierra Del Fuego,19,22,8
2014,3,Tucumán,8,23,8
2014,2,Buenos Aires,16,0,8
2014,2,Capital Federal,42,1,8
2014,2,Catamarca,6,2,8
2014,2,Chaco,5,3,8
2014,2,Chubut,12,4,8
2014,2,Córdoba,16,5,8
2014,2,Corrientes,5,6,8
2014,2,Entre Ríos,10,7,8
2014,2,Formosa,4,8,8
2014,2,Jujuy,4,9,8
2014,2,La Pampa,16,10,8
2014,2,La Rioja,4,11,8
2014,2,Mendoza,8,12,8
2014,2,Misiones,6,13,8
2014,2,Neuquén,15,14,8
2014,2,Río Negro,13,15,8
2014,2,Salta,7,16,8
2014,2,San Juan,7,17,8
2014,2,San Luis,2,18,8
2014,2,Santa Cruz,8,19,8
2014,2,Santa Fe,15,20,8
2014,2,Santiago Del Estero,4,21,8
2014,2,Tierra Del Fuego,19,22,8
2014,2,Tucumán,8,23,8
2014,1,Buenos Aires,16,0,8
2014,1,Capital Federal,42,1,8
2014,1,Catamarca,6,2,8
2014,1,Chaco,5,3,8
2014,1,Chubut,12,4,8
2014,1,Córdoba,16,5,8
2014,1,Corrientes,5,6,8
2014,1,Entre Ríos,10,7,8
2014,1,Formosa,4,8,8
2014,1,Jujuy,4,9,8
2014,1,La Pampa,15,10,8
2014,1,La Rioja,4,11,8
2014,1,Mendoza,8,12,8
2014,1,Misiones,6,13,8
2014,1,Neuquén,14,14,8
2014,1,Río Negro,13,15,8
2014,1,Salta,6,16,8
2014,1,San Juan,7,17,8
2014,1,San Luis,2,18,8
2014,1,Santa Cruz,8,19,8
2014,1,Santa Fe,15,20,8
2014,1,Santiago Del Estero,4,21,8
2014,1,Tierra Del Fuego,19,22,8
2014,1,Tucumán,8,23,8
