Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,provincia_id,año_id
2022,4,Buenos Aires,325908,2767247,1499149,129910,72451,4794665,0,0
2022,4,Capital Federal,138753,1238196,138548,4603,31826,1551926,1,0
2022,4,Catamarca,8952,10998,47337,1379,2243,70909,2,0
2022,4,Chaco,24582,61265,47285,7957,2574,143663,3,0
2022,4,Chubut,45450,73923,9815,30721,8850,168759,4,0
2022,4,Córdoba,152265,456947,367393,61631,11424,1049660,5,0
2022,4,Corrientes,34038,80283,26752,9082,5298,155453,6,0
2022,4,Entre Ríos,55507,135746,40798,26414,12509,270974,7,0
2022,4,Formosa,13735,17068,13118,17692,227,61840,8,0
2022,4,Jujuy,17880,52390,42626,4067,1255,118218,9,0
2022,4,La Pampa,7785,60566,24552,19995,1266,114164,10,0
2022,4,La Rioja,6120,54387,19328,6395,32,86262,11,0
2022,4,Mendoza,37655,77814,147080,27607,1948,292104,12,0
2022,4,Misiones,33204,87202,46885,11075,7903,186269,13,0
2022,4,Neuquén,28609,72679,31567,23815,3510,160180,14,0
2022,4,Río Negro,34043,48401,43958,16277,19413,162092,15,0
2022,4,Salta,36939,97023,53470,11884,6544,205860,16,0
2022,4,San Juan,38570,22913,12491,21912,7940,103826,17,0
2022,4,San Luis,6283,43460,3409,81557,511,135220,18,0
2022,4,Santa Cruz,9702,23876,12217,3746,662,50203,19,0
2022,4,Santa Fe,163621,412157,248558,44113,19242,887691,20,0
2022,4,Santiago Del Estero,13577,80955,15117,6911,2934,119494,21,0
2022,4,Tierra Del Fuego,12754,41293,405,157,651,55260,22,0
2022,4,Tucumán,69441,20668,168717,4069,527,263422,23,0
2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,0,0
2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,1,0
2022,3,Catamarca,10010,10495,46224,1329,2235,70293,2,0
2022,3,Chaco,27164,61800,44645,8178,2359,144146,3,0
2022,3,Chubut,45377,72212,9574,29784,8831,165778,4,0
2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,5,0
2022,3,Corrientes,36508,77140,18619,7256,5323,144846,6,0
2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,7,0
2022,3,Formosa,14470,25880,11041,16935,212,68538,8,0
2022,3,Jujuy,19257,52978,40172,4033,2383,118823,9,0
2022,3,La Pampa,7796,60078,23551,20216,4451,116092,10,0
2022,3,La Rioja,6842,53899,19697,6395,31,86864,11,0
2022,3,Mendoza,37659,78858,142615,27625,2766,289523,12,0
2022,3,Misiones,35513,88902,39046,11074,7622,182157,13,0
2022,3,Neuquén,29352,75815,29396,27482,1116,163161,14,0
2022,3,Río Negro,35552,48260,41017,16760,18969,160558,15,0
2022,3,Salta,40006,96984,50254,10082,7215,204541,16,0
2022,3,San Juan,38570,22723,12328,21860,7918,103399,17,0
2022,3,San Luis,6860,29363,248,70614,14985,122070,18,0
2022,3,Santa Cruz,10170,24047,10815,3896,582,49510,19,0
2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,20,0
2022,3,Santiago Del Estero,15385,80937,13170,6618,2922,119032,21,0
2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896,22,0
2022,3,Tucumán,77738,18518,162345,3997,519,263117,23,0
2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,0,0
2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,1,0
2022,2,Catamarca,11928,9430,42087,1329,2234,67008,2,0
2022,2,Chaco,29552,61284,42194,8178,2356,143564,3,0
2022,2,Chubut,45377,69242,9574,29784,8828,162805,4,0
2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,5,0
2022,2,Corrientes,38468,75769,18181,7256,5323,144997,6,0
2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,7,0
2022,2,Formosa,15397,25487,9875,16910,212,67881,8,0
2022,2,Jujuy,20303,54495,34184,3955,2377,115314,9,0
2022,2,La Pampa,7796,59273,22994,20200,1264,111527,10,0
2022,2,La Rioja,7759,52656,19189,6395,31,86030,11,0
2022,2,Mendoza,37663,77504,135504,26964,1927,279562,12,0
2022,2,Misiones,37208,89260,33649,11074,7622,178813,13,0
2022,2,Neuquén,29749,74905,28824,27371,1119,161968,14,0
2022,2,Río Negro,36050,47040,40946,16760,18968,159764,15,0
2022,2,Salta,42665,96178,47076,10068,7190,203177,16,0
2022,2,San Juan,38570,19734,12328,21859,7916,100407,17,0
2022,2,San Luis,6860,29034,248,70614,14985,121741,18,0
2022,2,Santa Cruz,10170,23725,10815,3896,579,49185,19,0
2022,2,Santa Fe,198492,428233,189503,43081,19550,878859,20,0
2022,2,Santiago Del Estero,16561,80338,11605,6618,2922,118044,21,0
2022,2,Tierra Del Fuego,12754,39837,403,125,651,53770,22,0
2022,2,Tucumán,85893,15327,148823,3997,487,254527,23,0
2022,1,Buenos Aires,392045,2728865,1242121,125521,66872,4555424,0,0
2022,1,Capital Federal,102290,1217225,62308,5784,29934,1417541,1,0
2022,1,Catamarca,14181,15517,29118,1328,2234,62378,2,0
2022,1,Chaco,32391,64546,36662,8164,2356,144119,3,0
2022,1,Chubut,44133,66667,9184,30592,21052,171628,4,0
2022,1,Córdoba,195610,501799,235838,60843,9713,1003803,5,0
2022,1,Corrientes,40462,79093,10875,6774,5374,142578,6,0
2022,1,Entre Ríos,67159,138986,23091,26098,12592,267926,7,0
2022,1,Formosa,16397,15927,5146,16876,202,54548,8,0
2022,1,Jujuy,21307,60616,25949,4662,3975,116509,9,0
2022,1,La Pampa,8003,58978,21739,19903,1109,109732,10,0
2022,1,La Rioja,9103,59228,9546,6395,31,84303,11,0
2022,1,Mendoza,49464,74145,123228,26969,1379,275185,12,0
2022,1,Misiones,39147,91752,25178,7807,7624,171508,13,0
2022,1,Neuquén,28443,73200,24193,23098,745,149679,14,0
2022,1,Río Negro,38662,45366,38037,16815,18494,157374,15,0
2022,1,Salta,44714,98667,40994,5950,7190,197515,16,0
2022,1,San Juan,34038,14449,11294,20723,7674,88178,17,0
2022,1,San Luis,7987,11296,31,71809,28721,119844,18,0
2022,1,Santa Cruz,10537,23420,10766,3974,405,49102,19,0
2022,1,Santa Fe,213486,444609,146552,45261,20571,870479,20,0
2022,1,Santiago Del Estero,18118,87979,1093,6349,2922,116461,21,0
2022,1,Tierra Del Fuego,13031,38700,416,124,340,52611,22,0
2022,1,Tucumán,92532,62396,86174,3995,487,245584,23,0
2021,4,Buenos Aires,426325,2706506,1176024,126887,73415,4509157,0,1
2021,4,Capital Federal,111360,1205128,60005,5679,29947,1412119,1,1
2021,4,Catamarca,16385,13858,25100,1512,2235,59090,2,1
2021,4,Chaco,35548,63145,34688,8005,2359,143745,3,1
2021,4,Chubut,46361,57412,9655,28041,18839,160308,4,1
2021,4,Córdoba,212011,487489,217214,61277,8779,986770,5,1
2021,4,Corrientes,42523,71183,10138,6778,5290,135912,6,1
2021,4,Entre Ríos,70459,133387,23452,25022,12726,265046,7,1
2021,4,Formosa,17211,15111,5151,16018,172,53663,8,1
2021,4,Jujuy,22330,60511,24156,2927,3991,113915,9,1
2021,4,La Pampa,8175,58000,20192,19286,1354,107007,10,1
2021,4,La Rioja,10387,56651,9446,6613,31,83128,11,1
2021,4,Mendoza,59842,71553,109667,24666,1859,267587,12,1
2021,4,Misiones,41778,92068,22035,7649,7602,171132,13,1
2021,4,Neuquén,29175,72761,23253,21531,746,147466,14,1
2021,4,Río Negro,42037,44495,32212,16558,18451,153753,15,1
2021,4,Salta,46972,99808,39555,5882,7188,199405,16,1
2021,4,San Juan,35868,13102,11072,11423,8493,79958,17,1
2021,4,San Luis,8472,11064,30,70560,28723,118849,18,1
2021,4,Santa Cruz,10790,22902,10031,4346,417,48486,19,1
2021,4,Santa Fe,233427,444373,128856,43556,16229,866441,20,1
2021,4,Santiago Del Estero,19032,86563,1088,6256,2922,115861,21,1
2021,4,Tierra Del Fuego,13317,38148,426,124,342,52357,22,1
2021,4,Tucumán,97830,59022,78790,2511,486,238639,23,1
2021,3,Buenos Aires,585729,2595485,885613,120228,64554,4251609,0,1
2021,3,Capital Federal,142902,1192107,42966,6059,29371,1413405,1,1
2021,3,Catamarca,18413,11709,22331,1568,2233,56254,2,1
2021,3,Chaco,38258,63659,27583,8018,2353,139871,3,1
2021,3,Chubut,49269,55794,8946,23376,18681,156066,4,1
2021,3,Córdoba,229275,477223,167495,57617,15178,946788,5,1
2021,3,Corrientes,44805,69403,7542,6766,5303,133819,6,1
2021,3,Entre Ríos,74443,128752,20485,23500,13195,260375,7,1
2021,3,Formosa,18093,14111,4730,15690,171,52795,8,1
2021,3,Jujuy,23554,60758,19926,2952,3968,111158,9,1
2021,3,La Pampa,9015,57881,17817,14479,1295,100487,10,1
2021,3,La Rioja,11329,54744,9444,6613,30,82160,11,1
2021,3,Mendoza,91474,71247,70579,21811,828,255939,12,1
2021,3,Misiones,43230,89469,10969,7198,7662,158528,13,1
2021,3,Neuquén,29650,73794,16455,19270,640,139809,14,1
2021,3,Río Negro,47934,44519,18725,15031,18376,144585,15,1
2021,3,Salta,49212,98318,36126,5724,6453,195833,16,1
2021,3,San Juan,40072,12922,6670,11372,8447,79483,17,1
2021,3,San Luis,8417,11884,27,68856,28680,117864,18,1
2021,3,Santa Cruz,12347,22961,6328,4269,3071,48976,19,1
2021,3,Santa Fe,245929,443156,93412,43447,15640,841584,20,1
2021,3,Santiago Del Estero,19939,85535,909,6147,2928,115458,21,1
2021,3,Tierra Del Fuego,12853,36958,6,16,390,50223,22,1
2021,3,Tucumán,104489,53868,70964,2408,743,232472,23,1
2021,2,Buenos Aires,603255,2503830,854173,113546,57547,4132351,0,1
2021,2,Capital Federal,148989,1175097,41318,5580,29371,1400355,1,1
2021,2,Catamarca,20305,9426,22331,1449,2233,55744,2,1
2021,2,Chaco,39826,62948,27584,8018,2353,140729,3,1
2021,2,Chubut,49271,41497,6081,23682,18706,139237,4,1
2021,2,Córdoba,239780,467782,151855,55944,15519,930880,5,1
2021,2,Corrientes,46648,67262,3731,6557,5303,129501,6,1
2021,2,Entre Ríos,77836,124957,17856,23786,13197,257632,7,1
2021,2,Formosa,19571,12509,3610,15690,171,51551,8,1
2021,2,Jujuy,24738,60800,19611,2731,3968,111848,9,1
2021,2,La Pampa,9017,57014,17132,13209,1295,97667,10,1
2021,2,La Rioja,11627,54255,9445,6245,30,81602,11,1
2021,2,Mendoza,91503,70834,44696,21811,827,229671,12,1
2021,2,Misiones,44960,87861,10376,5317,7662,156176,13,1
2021,2,Neuquén,30083,72690,15619,19218,640,138250,14,1
2021,2,Río Negro,48189,43761,18727,15031,18376,144084,15,1
2021,2,Salta,51396,96016,32050,5724,6453,191639,16,1
2021,2,San Juan,40072,12369,6673,11372,8447,78933,17,1
2021,2,San Luis,8417,11308,28,66860,36205,122818,18,1
2021,2,Santa Cruz,12347,22967,6328,4269,3071,48982,19,1
2021,2,Santa Fe,256741,431915,90424,43997,17523,840600,20,1
2021,2,Santiago Del Estero,20734,83770,909,5081,3596,114090,21,1
2021,2,Tierra Del Fuego,12853,22504,6,14,316,35693,22,1
2021,2,Tucumán,110429,48359,71683,1837,743,233051,23,1
2021,1,Buenos Aires,629679,2452056,821597,98806,57864,4060002,0,1
2021,1,Capital Federal,159805,1145093,39980,5559,29236,1379673,1,1
2021,1,Catamarca,26316,4409,18688,322,2233,51968,2,1
2021,1,Chaco,43214,61251,25426,8004,1875,139770,3,1
2021,1,Chubut,45501,40960,3444,23723,18712,132340,4,1
2021,1,Córdoba,260350,444695,134634,54137,17065,910881,5,1
2021,1,Corrientes,49160,62876,3337,5949,5303,126625,6,1
2021,1,Entre Ríos,83688,118424,16846,20836,12169,251963,7,1
2021,1,Formosa,20663,11412,2562,15669,380,50686,8,1
2021,1,Jujuy,32254,54324,17322,2677,3879,110456,9,1
2021,1,La Pampa,8946,58711,15779,12369,1300,97105,10,1
2021,1,La Rioja,17363,34984,1,250,30,52628,11,1
2021,1,Mendoza,91844,69295,38619,18332,833,218923,12,1
2021,1,Misiones,48292,82339,7064,4796,6896,149387,13,1
2021,1,Neuquén,30223,70457,14171,17752,632,133235,14,1
2021,1,Río Negro,48777,42192,17828,13994,18377,141168,15,1
2021,1,Salta,54768,89187,31498,5669,6452,187574,16,1
2021,1,San Juan,40072,11589,6671,11482,8453,78267,17,1
2021,1,San Luis,8417,10678,28,63826,36205,119154,18,1
2021,1,Santa Cruz,12347,23089,5975,4264,390,46065,19,1
2021,1,Santa Fe,277012,421480,70976,39140,17519,826127,20,1
2021,1,Santiago Del Estero,26468,75849,570,5158,3596,111641,21,1
2021,1,Tierra Del Fuego,12853,27247,6,0,316,40422,22,1
2021,1,Tucumán,147199,12185,69954,1834,740,231912,23,1
2020,4,Buenos Aires,635651,2441248,804991,93444,57927,4033261,0,2
2020,4,Capital Federal,163060,1142528,39890,4815,29237,1379530,1,2
2020,4,Catamarca,26870,5115,17856,322,2233,52396,2,2
2020,4,Chaco,44332,61200,23687,7997,1875,139091,3,2
2020,4,Chubut,45703,39756,3040,23363,18712,130574,4,2
2020,4,Córdoba,267396,439322,125620,52827,17536,902701,5,2
2020,4,Corrientes,50102,61495,3146,5626,5290,125659,6,2
2020,4,Entre Ríos,85683,113670,15653,20206,12169,247381,7,2
2020,4,Formosa,21264,10789,2432,15341,380,50206,8,2
2020,4,Jujuy,32850,52815,15639,1077,3470,105851,9,2
2020,4,La Pampa,9009,58945,15432,12194,1315,96895,10,2
2020,4,La Rioja,17513,34984,1,250,30,52778,11,2
2020,4,Mendoza,91842,68364,36083,18331,833,215453,12,2
2020,4,Misiones,49462,79855,6589,4359,6896,147161,13,2
2020,4,Neuquén,30468,70614,13732,17689,632,133135,14,2
2020,4,Río Negro,48991,42022,17826,13994,18377,141210,15,2
2020,4,Salta,56659,87817,30604,5858,6452,187390,16,2
2020,4,San Juan,40072,7004,6599,10468,8453,72596,17,2
2020,4,San Luis,8417,11767,27,63019,36205,119435,18,2
2020,4,Santa Cruz,12347,19657,1041,4659,2970,40674,19,2
2020,4,Santa Fe,287271,414746,62692,38712,17392,820813,20,2
2020,4,Santiago Del Estero,26812,70522,570,5169,3596,106669,21,2
2020,4,Tierra Del Fuego,12853,26439,6,0,316,39614,22,2
2020,4,Tucumán,149322,11150,68043,1834,740,231089,23,2
2020,3,Buenos Aires,653930,2384557,749087,94162,55541,3937277,0,2
2020,3,Capital Federal,170375,1129573,39417,3936,29374,1372675,1,2
2020,3,Catamarca,26868,3690,16857,261,2228,49904,2,2
2020,3,Chaco,45745,58825,20675,6706,2003,133954,3,2
2020,3,Chubut,45761,39386,2897,23216,18767,130027,4,2
2020,3,Córdoba,276360,430771,102217,48368,9756,867472,5,2
2020,3,Corrientes,50858,58681,2960,5513,5379,123391,6,2
2020,3,Entre Ríos,87892,106950,13954,20379,12320,241495,7,2
2020,3,Formosa,21790,10003,2000,15023,393,49209,8,2
2020,3,Jujuy,32611,57682,11112,952,4371,106728,9,2
2020,3,La Pampa,9015,56845,14677,11893,1305,93735,10,2
2020,3,La Rioja,17346,34984,1,250,35,52616,11,2
2020,3,Mendoza,91908,64672,32817,17523,868,207788,12,2
2020,3,Misiones,50195,77989,2572,3445,8985,143186,13,2
2020,3,Neuquén,30222,70446,11043,16787,737,129235,14,2
2020,3,Río Negro,49530,40001,10381,13187,18368,131467,15,2
2020,3,Salta,58216,84128,25445,5764,7293,180846,16,2
2020,3,San Juan,40092,9223,5509,14023,8480,77327,17,2
2020,3,San Luis,8401,10077,6,61828,36253,116565,18,2
2020,3,Santa Cruz,12845,16098,1027,6938,2373,39281,19,2
2020,3,Santa Fe,295051,405807,45721,37112,19307,802998,20,2
2020,3,Santiago Del Estero,26419,70720,555,4185,3613,105492,21,2
2020,3,Tierra Del Fuego,12854,26491,0,0,310,39655,22,2
2020,3,Tucumán,149605,11752,59949,1808,762,223876,23,2
2020,2,Buenos Aires,661272,2244277,723072,91736,57189,3777546,0,2
2020,2,Capital Federal,178896,1106133,39482,3937,29373,1357821,1,2
2020,2,Catamarca,26968,3641,14878,261,2228,47976,2,2
2020,2,Chaco,46816,56017,17266,6452,1581,128132,3,2
2020,2,Chubut,45761,38279,1324,17678,5614,108656,4,2
2020,2,Córdoba,282858,415007,85818,44522,8263,836468,5,2
2020,2,Corrientes,51248,55536,3144,3927,5011,118866,6,2
2020,2,Entre Ríos,89391,99423,13954,20042,11303,234113,7,2
2020,2,Formosa,21805,9353,1882,14723,169,47932,8,2
2020,2,Jujuy,32705,38938,5057,952,16664,94316,9,2
2020,2,La Pampa,8551,54422,14232,11314,1290,89809,10,2
2020,2,La Rioja,16885,34984,1,250,35,52155,11,2
2020,2,Mendoza,91904,62941,29613,15924,802,201184,12,2
2020,2,Misiones,50792,74497,2579,3319,9153,140340,13,2
2020,2,Neuquén,30256,67990,11037,15755,1134,126172,14,2
2020,2,Río Negro,49756,39650,10382,11331,18367,129486,15,2
2020,2,Salta,59502,81740,24289,5123,7108,177762,16,2
2020,2,San Juan,40092,8275,5509,7019,8882,69777,17,2
2020,2,San Luis,8401,8357,6,60935,36253,113952,18,2
2020,2,Santa Cruz,12845,16044,1027,6585,2368,38869,19,2
2020,2,Santa Fe,299974,381679,46698,30487,19094,777932,20,2
2020,2,Santiago Del Estero,25917,72074,355,3038,4063,105447,21,2
2020,2,Tierra Del Fuego,12854,26025,0,0,310,39189,22,2
2020,2,Tucumán,150084,9833,55120,1357,762,217156,23,2
2020,1,Buenos Aires,673237,2210349,720688,85443,18334,3708051,0,2
2020,1,Capital Federal,184494,1097635,38898,3911,28556,1353494,1,2
2020,1,Catamarca,21945,3146,12056,261,2227,39635,2,2
2020,1,Chaco,46356,54144,11958,6239,1580,120277,3,2
2020,1,Chubut,45763,27287,1324,16885,5479,96738,4,2
2020,1,Córdoba,286168,406109,68512,41617,8693,811099,5,2
2020,1,Corrientes,51126,53231,2172,2437,5004,113970,6,2
2020,1,Entre Ríos,90368,95434,13245,18737,14062,231846,7,2
2020,1,Formosa,21068,8887,1800,14510,169,46434,8,2
2020,1,Jujuy,32066,38938,3078,942,16641,91665,9,2
