,A̱o,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
0,2022,4,77.21,24.15,Oct-Dic
1,2022,3,76.64,23.95,Jul-Sept
2,2022,2,75.97,23.72,Abr-Jun
3,2022,1,73.88,23.05,Ene-Mar
4,2021,4,73.18,22.81,Oct-Dic
5,2021,3,70.58,21.98,Jul-Sept
6,2021,2,69.24,21.55,Abr-Jun
7,2021,1,67.95,21.13,Ene-Mar
8,2020,4,67.62,21.01,Oct-Dic
9,2020,3,66.31,20.59,Jul-Sept
10,2020,2,64.21,19.92,Abr-Jun
11,2020,1,62.86,19.48,Ene-Mar
12,2019,4,62.92,19.49,Oct-Dic
13,2019,3,65.79,20.36,Jul-Sept
14,2019,2,64.53,19.96,Abr-Jun
15,2019,1,62.48,19.31,Ene-Mar
16,2018,4,61.42,18.97,Oct-Dic
17,2018,3,60.69,18.73,Jul-Sept
18,2018,2,59.16,18.24,Abr-Jun
19,2018,1,58.82,18.12,Ene-Mar
20,2017,4,57.78,17.79,Oct-Dic
21,2017,3,56.9,17.51,Jul-Sept
22,2017,2,54.9,16.88,Abr-Jun
23,2017,1,54.16,16.64,Ene-Mar
24,2016,4,53.94,16.56,Oct-Dic
25,2016,3,53.73,16.5,Jul-Sept
26,2016,2,53.34,16.37,Abr-Jun
27,2016,1,51.85,15.9,Ene-Mar
28,2015,4,52.63,16.12,Oct-Dic
29,2015,3,52.46,16.05,Jul-Sept
30,2015,2,51.76,15.82,Abr-Jun
31,2015,1,51.36,15.68,Ene-Mar
32,2014,4,50.5,15.39,Oct-Dic
33,2014,3,50.67,15.43,Jul-Sept
34,2014,2,49.86,15.16,Abr-Jun
35,2014,1,49.55,15.05,Ene-Mar
